what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410127291
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410282948
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410283307
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410439026
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410440601
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410440726
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410451209
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410560316
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410560753
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214410609237
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214410653105
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214410653136
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410693025
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.findReplace,1214410693041
started,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1214410693056
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410728576
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214410736220
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214410736439
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214410736485
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214410765689
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214410765907
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214410765938
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410769620
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.findReplace,1214410769635
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214410783049
