what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505078351
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505090082
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1214505145462
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505150626
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.search.references.in.project,1214505150704
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505152825
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505152857
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214505174728
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505178877
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214505179002
executed,command,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.openFileSearchPage,1214505179018
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505194867
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505198674
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505198845
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505202340
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505202558
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505209313
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505209547
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505211778
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505211981
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505213385
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505213603
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1214505246644
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.search.references.in.project,1214505246691
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214505255130
