what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1214427586256
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214427591436
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1214427591623
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214427617893
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214427617940
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1214427620795
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1214427628345
started,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1214427628345
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214427629484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427641153
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1214427645131
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427645193
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1214427645193
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427646837
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427650931
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1214427657888
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1214427658091
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427667560
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427671258
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.export,1214427671273
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.export,1214427671273
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427684798
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427690773
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427697247
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214427700648
