what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ResourceNavigator,1214433089418
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433113380
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433142084
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1214433142099
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.buildAutomatically,1214433146389
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433148199
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433154189
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.cleanAction,1214433154205
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433154470
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433164392
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433181864
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433183642
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.cleanAction,1214433183658
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433189695
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433194032
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.cleanAction,1214433194047
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433201520
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433211161
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1214433213719
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1214433216699
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1214433216730
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1214433216730
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1214433216730
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1214433216730
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1214433216730
