what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ui,1214418707367
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1214418707367
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1214418707367
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1214418707367
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.help.ui,1214418707367
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.bugs,1214418707367
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1214418707367
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.300.v200805152207,org.eclipse.wst.dtd.ui,1214418707367
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.101.v200806051910,org.eclipse.wst.xsd.ui,1214418707367
stopped,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1214418707367
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1214418707383
stopped,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1214418707383
stopped,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1214418707383
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1214418707383
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1214418707398
stopped,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1214418707398
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1214418707398
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1214418707398
stopped,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1214418707398
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1214418707398
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1214418707398
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1214418707398
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.100.v20080508,org.eclipse.ui.cheatsheets,1214418707398
stopped,bundle,org.eclipse.help.ui,3.3.100.v20080521,org.eclipse.help.ui,1214418707398
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1214418707398
